Sample	Latitude	Longitude
MVZ206289	37.89709	-122.23906
MVZ227430	37.63925	-121.92305
MVZ231861	37.887	-122.232
MVZ239688	37.9249	-122.2905
MVZ241098	37.9249	-122.2905
MVZ232173	36.37811498	-121.562444
MVZ240832	36.07871	-121.590771
MVZ240837	36.07746833	-121.5915333
MSB269776	47.70812	-123.29854
MSB269806	44.7081	-123.29854
MSB43525	48.0473809	-123.4164311
UAM101701	43.2606936	-122.2380791
UAM93314	43.2473736	-122.432827
MSB259148	44.2184	-122.2438
MSB269732	44.16708	-124.00472
UAM41739	46.62	-122.455
MSB261737	44.39946	-122.0892
MSB281100	47.095	-122.575
MVZ223024	41.75024	-122.249911
MVZ223025	41.10394	-123.114933
MVZ223028	41.990214	-123.520117
MSB311857	45.830331	-122.017459
MVZ217504	40.890626	-123.5831088
MVZ221535	38.91554	-121.01074
MVZ221743	39.18656	-120.83194
MVZ224676	39.305695	-120.516791
MVZ232190	39.14888	-120.4035
MVZ191515	38.0133789	-122.8001209
MVZ191548	38.1040057	-122.8960441
MVZ191565	38.0978691	-122.9011817
MVZ191579	38.0967658	-122.9027487
MVZ191607	37.9936085	-122.7860072
MVZ217992	37.917082	-122.623202
MVZ219009	37.95734722	-122.600725
MVZ219014	37.96898889	-122.6015028
MVZ219015	37.95734722	-122.600725
MVZ230716	37.99647	-122.50203
MVZ231432	38.15281944	-122.5785639
MVZ240012	38.548498	-122.530562
MVZ240013	38.548498	-122.530562
MVZ220148	40.5895	-121.29406
MVZ240272	39.73349	-123.630337
MVZ240328	39.353847	-123.55504
MVZ240329	39.353847	-123.55504
MVZ240330	39.353847	-123.55504
MVZ223020	41.473297	-121.149116
MVZ222752	39.42091	-120.29095
MVZ222753	39.42091	-120.29095
MVZ222756	39.431667	-120.23158
MVZ222758	39.431667	-120.23158
MVZ217516	39.9177662	-121.0631179
MVZ217517	39.9177662	-121.0631179
MVZ196598	40.5451771	-121.5674756
MVZ200477	40.4775067	-121.4318955
MVZ200647	40.4739296	-121.4931509
MVZ218549	40.45971	-121.44478
MVZ223022	41.056615	-122.498137
MVZ228428	41.10822	-121.98217
MVZ217509	39.5786365	-120.3737615
MVZ222746	39.458147	-120.286223
MVZ222749	39.46031	-120.285487
MVZ222751	39.447115	-120.309225
MVZ223023	41.584922	-121.806661
MVZ241349	38.758767	-123.517867
MVZ217872	40.34688	-121.62932
MVZ218037	40.3689	-121.53831
MVZ219775	40.41389	-121.53029
MVZ228426	40.24354	-121.67609
MVZ232186	39.424537	-121.112545
MVZ224618	36.791016	-118.597684
MVZ222480	36.093389	-118.224394
MVZ222490	35.8321	-118.296317
MVZ223094	36.412731	-118.802821
MVZ223095	36.412731	-118.802821
MVZ232188	38.60242	-119.7896
MVZ199509	38.44479	-120.56187
MVZ199508	38.04664	-120.52142
MVZ199510	38.39951	-120.58843
MVZ199511	38.39963	-120.50043
MVZ201003	38.35339	-120.54208
MVZ201307	37.73	-119.61082
MVZ201308	37.75731	-119.80131
MVZ201314	37.7477	-119.8386
MVZ201318	37.6475	-119.70387
MVZ207124	37.7409	-119.40804
MVZ216205	37.76312	-119.85983
MVZ216215	37.57775	-119.88244
MVZ222754	39.42091	-120.29095
MVZ222755	39.44339	-120.2209
MVZ222757	39.431667	-120.23158
MVZ221740	39.24922	-120.7522
MVZ232189	39.0278	-120.49598
MVZ222747	39.46031	-120.285487
MVZ222750	39.447115	-120.309225
MVZ201309	37.81096	-119.71286
MVZ201312	37.78981	-119.83766
MVZ225827	37.79615	-120.14305
MVZ232185	39.395635	-121.082304
