parent_node	child_node	is_internal_child	bootstrap_support	lwd
100	1	FALSE	NA	0.7
100	101	TRUE	98	3.8
101	2	FALSE	NA	0.7
101	102	TRUE	100	3.8
102	103	TRUE	66	0.7
103	104	TRUE	76	1.6
104	3	FALSE	NA	0.7
104	105	TRUE	100	3.8
105	106	TRUE	100	3.8
106	107	TRUE	100	3.8
107	108	TRUE	99	3.8
108	109	TRUE	100	3.8
109	110	TRUE	100	3.8
110	111	TRUE	100	3.8
111	112	TRUE	100	3.8
112	113	TRUE	100	3.8
113	114	TRUE	100	3.8
114	115	TRUE	100	3.8
115	116	TRUE	100	3.8
116	117	TRUE	100	3.8
117	118	TRUE	99	3.8
118	119	TRUE	100	3.8
119	4	FALSE	NA	0.7
119	120	TRUE	98	3.8
120	5	FALSE	NA	0.7
120	121	TRUE	100	3.8
121	122	TRUE	99	3.8
122	123	TRUE	97	3.8
123	6	FALSE	NA	0.7
123	7	FALSE	NA	0.7
122	124	TRUE	99	3.8
124	8	FALSE	NA	0.7
124	9	FALSE	NA	0.7
121	10	FALSE	NA	0.7
118	11	FALSE	NA	0.7
117	12	FALSE	NA	0.7
116	125	TRUE	100	3.8
125	126	TRUE	100	3.8
126	13	FALSE	NA	0.7
126	14	FALSE	NA	0.7
125	15	FALSE	NA	0.7
115	16	FALSE	NA	0.7
114	17	FALSE	NA	0.7
113	18	FALSE	NA	0.7
112	19	FALSE	NA	0.7
111	20	FALSE	NA	0.7
110	21	FALSE	NA	0.7
109	22	FALSE	NA	0.7
108	127	TRUE	100	3.8
127	23	FALSE	NA	0.7
127	128	TRUE	100	3.8
128	129	TRUE	82	2.6
129	130	TRUE	44	0.7
130	131	TRUE	100	3.8
131	132	TRUE	65	0.7
132	133	TRUE	66	0.7
133	134	TRUE	67	0.7
134	135	TRUE	75	1.6
135	136	TRUE	77	1.6
136	24	FALSE	NA	0.7
136	25	FALSE	NA	0.7
135	26	FALSE	NA	0.7
134	137	TRUE	72	1.6
137	27	FALSE	NA	0.7
137	28	FALSE	NA	0.7
133	29	FALSE	NA	0.7
132	138	TRUE	95	3.8
138	139	TRUE	96	3.8
139	140	TRUE	71	1.6
140	141	TRUE	92	3.8
141	30	FALSE	NA	0.7
141	31	FALSE	NA	0.7
140	142	TRUE	93	3.8
142	143	TRUE	51	0.7
143	144	TRUE	63	0.7
144	145	TRUE	61	0.7
145	146	TRUE	82	2.6
146	32	FALSE	NA	0.7
146	33	FALSE	NA	0.7
145	34	FALSE	NA	0.7
144	147	TRUE	70	1.6
147	35	FALSE	NA	0.7
147	36	FALSE	NA	0.7
143	148	TRUE	64	0.7
148	149	TRUE	61	0.7
149	150	TRUE	68	0.7
150	37	FALSE	NA	0.7
150	38	FALSE	NA	0.7
149	39	FALSE	NA	0.7
148	151	TRUE	66	0.7
151	40	FALSE	NA	0.7
151	41	FALSE	NA	0.7
142	152	TRUE	51	0.7
152	42	FALSE	NA	0.7
152	43	FALSE	NA	0.7
139	44	FALSE	NA	0.7
138	153	TRUE	97	3.8
153	45	FALSE	NA	0.7
153	46	FALSE	NA	0.7
131	154	TRUE	72	1.6
154	47	FALSE	NA	0.7
154	155	TRUE	46	0.7
155	48	FALSE	NA	0.7
155	49	FALSE	NA	0.7
130	156	TRUE	49	0.7
156	50	FALSE	NA	0.7
156	51	FALSE	NA	0.7
129	52	FALSE	NA	0.7
128	53	FALSE	NA	0.7
107	54	FALSE	NA	0.7
106	157	TRUE	100	3.8
157	158	TRUE	100	3.8
158	159	TRUE	81	2.6
159	160	TRUE	46	0.7
160	161	TRUE	69	0.7
161	162	TRUE	92	3.8
162	55	FALSE	NA	0.7
162	163	TRUE	64	0.7
163	56	FALSE	NA	0.7
163	164	TRUE	69	0.7
164	57	FALSE	NA	0.7
164	58	FALSE	NA	0.7
161	165	TRUE	74	1.6
165	166	TRUE	93	3.8
166	59	FALSE	NA	0.7
166	60	FALSE	NA	0.7
165	61	FALSE	NA	0.7
160	62	FALSE	NA	0.7
159	167	TRUE	61	0.7
167	63	FALSE	NA	0.7
167	64	FALSE	NA	0.7
158	65	FALSE	NA	0.7
157	168	TRUE	80	2.6
168	66	FALSE	NA	0.7
168	67	FALSE	NA	0.7
105	169	TRUE	100	3.8
169	170	TRUE	100	3.8
170	171	TRUE	100	3.8
171	172	TRUE	93	3.8
172	173	TRUE	51	0.7
173	174	TRUE	53	0.7
174	175	TRUE	36	0.7
175	176	TRUE	74	1.6
176	177	TRUE	69	0.7
177	178	TRUE	65	0.7
178	179	TRUE	90	3.8
179	68	FALSE	NA	0.7
