Sample	Population	Cluster1	Cluster2	Cluster3	Cluster4	Cluster5	Cluster6	Cluster7	Cluster8
MVZ206289	South_Coast	2.61390876820934e-06	0.000281922168627074	0.994682302669699	0.000702061238619496	0.00251647522724188	0.000170931652137057	0.000514100990881972	0.00112959214402565
MVZ227430	South_Coast	1.46202135960618e-06	0.00135256840377182	0.990509943379284	0.00169724465202555	0.00453102850024345	0.000659735025778443	0.000611205583412547	0.000636812434125032
MVZ231861	South_Coast	0.000453807201037417	0.00277510462807606	0.971891496801666	0.00580976722603287	0.0124953313302591	0.000897217005980931	0.00171778992842888	0.00395948587851831
MVZ232173	South_Coast	0.00785305267850293	0.0167835540422353	0.840175812341242	0.0194306170499191	0.0779632955851561	0.0117972074934556	0.0057487103239977	0.0202477504854914
MVZ239688	South_Coast	2.40140935013189e-06	0.000139837293428472	0.995221178863043	0.000432974618358829	0.00262871364432422	0.000215629836011931	8.90666289537553e-05	0.00127019770652949
MVZ240832	South_Coast	0.00210996572715165	0.0166557500593666	0.850148585426343	0.0241667422622899	0.0821354431315703	0.00377815848496332	0.00347413346516277	0.0175312214431528
MVZ240837	South_Coast	0.00149775750145251	0.0153671063588305	0.854720001382432	0.021303139619503	0.0836158595498939	0.00440915442855184	0.00614915806573108	0.0129378230936048
MVZ241098	South_Coast	2.04960433065453e-06	0.000776731935960213	0.994493922494713	0.000413161244671681	0.00281311535643497	0.000258466942837058	0.000301508199453554	0.000941044221599144
MSB259148	North	1.04672510163237e-05	0.992770188192912	0.000797564927644925	0.000513740302513904	0.000862403871210784	0.00273387594719609	0.000764127838603411	0.00154763166890251
MSB261737	North	4.17414210130792e-06	0.997003100015124	0.000191547511173614	0.000118566275766838	0.000605139171364565	0.000981120379231433	0.000764265357221773	0.000332087148015918
MSB269732	North	7.75368425268809e-05	0.951331962708806	0.00281491857310179	0.00061035677769947	0.0111480308668491	0.0252285686850801	0.00482722060273464	0.00396140494320149
MSB269776	North	4.67591959958734e-06	0.940532464468762	0.00476688694275667	0.00352811883767085	0.0168216687311581	0.0224599370722919	0.00554761283796375	0.0063386351897971
