Sample	Population	Cluster1	Cluster2	Cluster3	Cluster4	Cluster5	Cluster6	Cluster7
MVZ206289	South_Coast	5.74775897170052e-151	5.206185066726e-09	5.04914460325253e-08	0.935108527311831	0.0467907966975082	2.19125239896373e-05	0.0180787077690402
MVZ227430	South_Coast	1.18015583623652e-139	1.13973145648475e-08	1.29054622205625e-07	0.931114052768965	0.0486594974046384	3.11012479658859e-05	0.0201952081264939
MVZ231861	South_Coast	4.60564622872665e-139	7.1440214647964e-08	7.69294886305334e-07	0.79787835032426	0.141775077250222	0.000125392023202964	0.0602203396672144
MVZ232173	South_Coast	0.816161133710537	1.96055602710542e-07	2.26488848904624e-06	2.07409931683383e-190	0.126675359519486	0.000178525979948631	0.0569825198459368
MVZ239688	South_Coast	2.2599894063877e-148	5.32542355006577e-09	4.98093087124156e-08	0.942908513312885	0.0410898295343883	1.99370650350658e-05	0.015981664952959
MVZ240832	South_Coast	0.90951394527382	3.35246390083354e-08	3.77442279076347e-07	6.7519035020554e-215	0.0638591302819832	5.47180773477405e-05	0.026571795399931
MVZ240837	South_Coast	0.915942270126664	2.88035172306572e-08	3.26585100422903e-07	1.43979857142125e-211	0.0593684036705283	5.05440040005841e-05	0.0246384268101898
MVZ241098	South_Coast	6.90703183517692e-145	5.49426591390852e-09	5.41355848730999e-08	0.949563249611569	0.036103900868093	1.8891127589365e-05	0.0143138987628974
MSB259148	North	6.10433798542521e-206	1.8795634545859e-05	0.00149366919840877	4.94065645841247e-324	0.202554931743103	0.00154837603712796	0.794384227386815
MSB261737	North	4.41617220032971e-210	1.42131450537514e-05	0.00112183100660428	0	0.193718108972169	0.0013574935524008	0.803788353323773
MSB269732	North	1.95966818013515e-199	3.09118964094922e-05	0.00254527764229147	4.06789480129894e-315	0.228288698536426	0.00211815160195448	0.767016960322919
MSB269776	North	1.99682934192891e-199	3.19297440302214e-05	0.00258632349456694	2.61538513603534e-314	0.232429850282155	0.00213520684479023	0.762816689634457
MSB269806	North	5.15263077269967e-196	3.63625563952402e-05	0.00299980916182034	2.08707658215519e-310	0.238363287673382	0.00227564888308462	0.756324891725318
MSB281100	North	1.92147451764819e-219	8.55128899891424e-06	0.000594627837112224	0	0.202304882244382	0.00115547026566615	0.795936468363841
MSB311857	North	3.89786810418445e-218	1.04063436438678e-05	0.000668412025929514	0	0.202233900102423	0.00126336958267021	0.795823911945334
MSB43525	North	9.72794243606084e-233	3.47858423383389e-06	0.000245585620337782	0	0.18923778165752	0.000748638396549718	0.809764515741359
MSB83485	North	4.57907474873807e-225	6.49424431291959e-06	0.000429126038140609	0	0.198887277705347	0.00103239977665394	0.799644702235545
MVZ217504	North	4.83346104509122e-192	5.36892467070415e-05	0.00892618087688525	2.7448195903804e-305	0.298476863332829	0.00311639080205075	0.689426875741528
MVZ223024	Sierra_3	2.74800931335743e-184	9.40496391618462e-05	0.385119560521029	8.95045469442896e-294	0.304559382062262	0.00404642462473294	0.306180583152814
MVZ223025	North	5.96968365239578e-205	2.83585409288901e-05	0.00710352917095022	7.4109846876187e-323	0.309801392531048	0.00226802186796324	0.680798697889109
MVZ223028	North	5.79172432343488e-191	4.49912242327772e-05	0.00447127280904683	7.65102234849668e-303	0.240156546393959	0.0024110626566657	0.752916126916096
UAM101701	North	3.65427392546917e-183	8.59868422311725e-05	0.00662250018252467	2.39955766479417e-291	0.276259877473652	0.0033439037746335	0.713687731726959
UAM41739	North	4.10642034894686e-204	3.05164839773821e-05	0.00190045812645322	6.00783825342956e-321	0.230771479781432	0.00220065028089339	0.765096895327244
UAM93314	North	2.52668619293911e-197	2.88027160086193e-05	0.00266781554965533	4.54561652899725e-313	0.219960520394849	0.0020302791020206	0.775312582237466
MVZ221535	Sierra_2	1.5632060051393e-220	0.778943564535689	0.000173982445547369	0	0.122153370521488	0.0203785735545038	0.0783505089427708
MVZ221743	Sierra_2	9.22389594508516e-240	0.617169565170752	9.92324087534996e-05	0	0.223655124395694	0.0257196943590907	0.13335638366571
MVZ224676	Sierra_2	1.09846368096663e-230	0.773374891037046	0.000109272028376719	0	0.1285403220668	0.0168143906521183	0.0811611242156584
MVZ232190	Sierra_2	4.88092547879584e-230	0.784891735078135	8.22316804202307e-05	0	0.124375247991154	0.0150229510763065	0.0756278341739844
MVZ191515	North_Coast	1.30722174250941e-200	1.81582668170123e-05	0.000805077957932608	1.65893904101053e-318	0.835122550219161	0.001573709827606	0.162480503728483
MVZ191548	North_Coast	9.60695016818776e-203	1.58940384008338e-05	0.00062843205405193	3.85371203756172e-322	0.826999718510054	0.00160223610104739	0.170753719296446
MVZ191565	North_Coast	5.52382005672358e-205	1.06053974667396e-05	0.000458401951401566	0	0.846675065606466	0.0012278842169833	0.151628042827683
MVZ191579	North_Coast	4.25155436582948e-182	5.94909624871332e-05	0.00248158379448876	5.22310160192764e-292	0.809267901526347	0.00279780776467427	0.185393215952003
MVZ191607	North_Coast	1.21842695847409e-192	2.511585269314e-05	0.00120554608935672	1.19632008140974e-307	0.830671714560193	0.00181183355887272	0.166285789938885
MVZ217992	North_Coast	1.06265658616402e-228	2.7995862032873e-06	0.00010651574004498	0	0.853579275971341	0.000746516713788252	0.145564891988623
MVZ219009	North_Coast	1.9031460094969e-197	1.71044401761705e-05	0.000766085752554872	1.61784489445786e-313	0.830885749915155	0.00157673554145342	0.166754324350661
MVZ219014	North_Coast	2.81664387768372e-182	5.53808526059131e-05	0.00266377849744463	1.41396506288308e-291	0.802145567602291	0.00281166771296059	0.192323605334698
MVZ219015	North_Coast	3.47145534528664e-181	5.98964112596278e-05	0.00285133916946827	5.19605581597674e-291	0.796325114375756	0.00299370822123197	0.197769941822284
MVZ230716	North_Coast	2.60972021549688e-171	9.99183705224449e-05	0.00460644930792696	8.07422192815324e-277	0.78398520594893	0.0035343505750425	0.207774075797578
MVZ231432	North_Coast	3.2046183109113e-208	1.19780754311337e-05	0.000444358394972167	0	0.823149239830851	0.00143539560855599	0.17495902809019
MVZ240012	North_Coast	6.1194156964158e-229	4.00554643423184e-06	0.000181226769979454	0	0.7964844337933	0.00101080084210741	0.202319533048179
MVZ240013	North_Coast	3.43127668484395e-222	5.06097225369867e-06	0.000234631913031953	0	0.787754252322372	0.00114315111031421	0.210862903682028
MVZ196598	Sierra_3	2.83098655040342e-190	5.58042276647643e-05	0.5084146917884	9.31204030706327e-303	0.256372511551398	0.00283164738667421	0.232325345045863
MVZ200477	Sierra_3	4.62177649696092e-193	5.23054781092251e-05	0.550910170221173	7.36871540584414e-308	0.234923094502106	0.00271439196607358	0.211400037832538
MVZ200647	Sierra_3	1.91132457244495e-183	8.69332386405537e-05	0.55727864405084	1.70219454489463e-293	0.226923615684887	0.00339666186589972	0.212314145159733
MVZ217509	Sierra_3	4.93412300065546e-191	0.000126403257546075	0.49550753140118	4.41900670407281e-305	0.267306039030172	0.00382196673074757	0.233238059580354
