K	n_runs	ml_mean	ml_sd	cv_mean	cv_sd
1	10	-0.6717546703	0	0.60042421	0.014163471037571
2	10	-0.60271580832	7.43043261914445e-08	0.50005166	0.0136892738527652
3	10	-0.56821332571	0.00172408795384918	0.440368	0.00512008849619701
4	10	-0.54782600075	0.00608939070488441	0.39515482	0.0115478997836355
5	10	-0.5377108084	0.00674136266340792	0.37695756	0.0158019026661138
6	10	-0.53830038765	0.00704178526209491	0.37574914	0.0207748988672602
7	10	-0.53997720726	0.00602868629926188	0.36979527	0.0173837126604858
8	10	-0.53663819519	0.00235307101229026	0.36058657	0.00779490824392579
9	10	-0.53943071896	0.00491357242553046	0.37069608	0.0155437580918301
10	10	-0.54216330999	0.00592395934435936	0.36053659	0.00729096089208336
