Sample	Population	Cluster1	Cluster2	Cluster3	Cluster4	Cluster5	Cluster6	Cluster7	Cluster8
MVZ206289	South_Coast	0	0	0	0	1	0	0	0
MVZ227430	South_Coast	0	0	0	0	1	0	0	0
MVZ231861	South_Coast	0	0	0	0	1	0	0	0
MVZ232173	South_Coast	0	0	0	0	1	0	0	0
MVZ239688	South_Coast	0	0	0	0	1	0	0	0
MVZ240832	South_Coast	0	0	0	0	1	0	0	0
MVZ240837	South_Coast	0	0	0	0	1	0	0	0
MVZ241098	South_Coast	0	0	0	0	1	0	0	0
MSB259148	North	0	0	0	1	0	0	0	0
MSB261737	North	0	0	0	1	0	0	0	0
MSB269732	North	0	0	0	0.999	0	0	0	0.001
MSB269776	North	0	0	0	0.999	0	0	0	0.001
MSB269806	North	0	0	0	0.999	0	0	0	0.001
MSB281100	North	0	0	0	1	0	0	0	0
MSB311857	North	0	0	0	1	0	0	0	0
MSB43525	North	0	0	0	1	0	0	0	0
MSB83485	North	0	0	0	1	0	0	0	0
MVZ217504	North	0	0	0	0.172	0	0	0	0.828
MVZ223024	Sierra_3	0	0	0.001	0.036	0	0	0.95	0.013
MVZ223025	North	0	0	0.001	0.161	0	0	0.001	0.837
MVZ223028	North	0	0	0	0.909	0	0	0	0.091
UAM101701	North	0.014	0	0	0.985	0	0	0	0.001
UAM41739	North	0	0	0	1	0	0	0	0
UAM93314	North	0	0	0	0.999	0	0	0	0.001
MVZ221535	Sierra_2	0	0	0	0	0	1	0	0
MVZ221743	Sierra_2	0	0.001	0	0	0	0.999	0	0
MVZ224676	Sierra_2	0	0.001	0	0	0	0.999	0	0
MVZ232190	Sierra_2	0	0.001	0	0	0	0.999	0	0
MVZ191515	North_Coast	1	0	0	0	0	0	0	0
MVZ191548	North_Coast	1	0	0	0	0	0	0	0
MVZ191565	North_Coast	1	0	0	0	0	0	0	0
MVZ191579	North_Coast	1	0	0	0	0	0	0	0
MVZ191607	North_Coast	1	0	0	0	0	0	0	0
MVZ217992	North_Coast	1	0	0	0	0	0	0	0
MVZ219009	North_Coast	1	0	0	0	0	0	0	0
MVZ219014	North_Coast	1	0	0	0	0	0	0	0
MVZ219015	North_Coast	1	0	0	0	0	0	0	0
MVZ230716	North_Coast	1	0	0	0	0	0	0	0
