K	BestRun	LogL_Mean	LogL_Min	LogL_Max	DLK1	DLK2	FST_FIS
1	trow_exclMVZ216210_K_1_R_1	-944692.89849	-944692.89849	-944692.89849	NA	NA	0.5566784
2	trow_exclMVZ216210_K_2_R_1	-695973.1806	-710934.78511	-692232.77947	0.3084564	0.373289	0.2050373
3	trow_exclMVZ216210_K_3_R_1	-597620.13955	-597620.13955	-597620.13955	0.146703	0.2690992	0.3595904
4	trow_exclMVZ216210_K_4_R_1	-534285.96999	-534285.97035	-534285.9699	0.1119071	0.4350155	0.3569956
5	trow_exclMVZ216210_K_5_R_1	-508144.75672	-531928.87877	-497474.41213	0.0713568	0.03178391	0.05539916
6	trow_exclMVZ216210_K_6_R_1	-494400.15398	-504565.22303	-470110.73804	0.05656076	0.151424	0.03800655
7	trow_exclMVZ216210_K_7_R_1	-471880.62724	-488394.11889	-467752.25433	0.005029485	-0.07594536	0.03295032
8	trow_exclMVZ216210_K_8_R_1	-461029.16763	-461029.1686	-461029.16739	0.01447722	1.910968	0.3995383
9	trow_exclMVZ216210_K_9_R_2	-462975.46401	-464608.07666	-462449.28596	-0.003075586	0.04398092	0.0615317
10	trow_exclMVZ216210_K_10_R_4	-465261.92589	-468216.9226	-464340.96649	-0.004082219	NA	0.03418062
