Observed_feature_from_model	Predicted_model	Posterior_like
M1_6pop	M1_6pop	0.6260416666666667
M1_6pop	M2_NorthMerge	0.21305555555555555
M1_6pop	M3_SierraMerge	0.07583333333333334
M1_6pop	M4_ThreeSpecies	0.08506944444444445
M1_6pop	M5_CoastVsInland	0.0
M2_NorthMerge	M1_6pop	0.12965277777777776
M2_NorthMerge	M2_NorthMerge	0.7475000000000002
M2_NorthMerge	M3_SierraMerge	0.035
M2_NorthMerge	M4_ThreeSpecies	0.08784722222222222
M2_NorthMerge	M5_CoastVsInland	0.0
M3_SierraMerge	M1_6pop	0.03354166666666667
M3_SierraMerge	M2_NorthMerge	0.11317460317460316
M3_SierraMerge	M3_SierraMerge	0.5766865079365079
M3_SierraMerge	M4_ThreeSpecies	0.2765972222222222
M3_SierraMerge	M5_CoastVsInland	0.0
M4_ThreeSpecies	M1_6pop	0.021279761904761905
M4_ThreeSpecies	M2_NorthMerge	0.06932539682539683
M4_ThreeSpecies	M3_SierraMerge	0.07777777777777778
M4_ThreeSpecies	M4_ThreeSpecies	0.8316170634920634
M4_ThreeSpecies	M5_CoastVsInland	0.0
M5_CoastVsInland	M1_6pop	0.0
M5_CoastVsInland	M2_NorthMerge	0.0033333333333333335
M5_CoastVsInland	M3_SierraMerge	0.09507936507936508
M5_CoastVsInland	M4_ThreeSpecies	0.11162698412698412
M5_CoastVsInland	M5_CoastVsInland	0.7899603174603176
