Chain	File	Parameter	First_half_mean	Second_half_mean
1	mcmcpilogl.txt	LogPrior	22.8276645268889	19.296563525
2	mcmcpilogl.txt	LogPrior	17.0411129545556	20.4335780527778
3	mcmcpilogl.txt	LogPrior	24.1818541292222	19.9498797135556
4	mcmcpilogl.txt	LogPrior	24.9239860144444	21.8502874522222
1	mcmcpilogl.txt	LogLikelihood	14328.2684958017	14325.5831339352
2	mcmcpilogl.txt	LogLikelihood	14325.841517022	14327.0152696008
3	mcmcpilogl.txt	LogLikelihood	14328.8255018054	14325.466474708
4	mcmcpilogl.txt	LogLikelihood	14328.5873952417	14326.2765453411
1	mcmcmhyper.txt	MigrationMean	-0.434209441	-0.453774938333333
2	mcmcmhyper.txt	MigrationMean	-0.438815114888889	-0.443739811888889
3	mcmcmhyper.txt	MigrationMean	-0.441008025444444	-0.445582538333333
4	mcmcmhyper.txt	MigrationMean	-0.441896222888889	-0.430603520444444
1	mcmcmhyper.txt	MigrationVariance	2.09546842922222	2.08580085011111
2	mcmcmhyper.txt	MigrationVariance	2.06650176788889	2.10555823122222
3	mcmcmhyper.txt	MigrationVariance	2.10977545166667	2.08026079844444
4	mcmcmhyper.txt	MigrationVariance	2.12461250077778	2.10044667411111
1	mcmcqhyper.txt	DiversityMean	0	0
2	mcmcqhyper.txt	DiversityMean	0	0
3	mcmcqhyper.txt	DiversityMean	0	0
4	mcmcqhyper.txt	DiversityMean	0	0
1	mcmcqhyper.txt	DiversityVariance	0.0601458525555556	0.0669974078888889
2	mcmcqhyper.txt	DiversityVariance	0.0711939836666667	0.0648142781111111
3	mcmcqhyper.txt	DiversityVariance	0.0594778802222222	0.0659121777777778
4	mcmcqhyper.txt	DiversityVariance	0.0590980055555556	0.0653607842222222
1	mcmcthetas.txt	Theta	0.104521651888889	0.104504399
2	mcmcthetas.txt	Theta	0.104488312666667	0.104403139222222
3	mcmcthetas.txt	Theta	0.104551834777778	0.104535216
4	mcmcthetas.txt	Theta	0.104529132444444	0.104570315555556
1	mcmcthetas.txt	DegreesFreedom	674.733396401333	674.25898227
2	mcmcthetas.txt	DegreesFreedom	674.161259334778	674.457031973333
3	mcmcthetas.txt	DegreesFreedom	674.942465574556	673.934384068333
4	mcmcthetas.txt	DegreesFreedom	674.971682843667	674.183315443444
1	mcmcmtiles.txt	MigrationTiles	47.8593333333333	49.2365555555556
2	mcmcmtiles.txt	MigrationTiles	50.0186666666665	48.6313333333333
3	mcmcmtiles.txt	MigrationTiles	46.8501111111112	49.5292222222222
4	mcmcmtiles.txt	MigrationTiles	46.2151111111111	47.2437777777778
1	mcmcqtiles.txt	DiversityTiles	12.1523333333333	11.1463333333333
2	mcmcqtiles.txt	DiversityTiles	10.441	11.3781111111111
3	mcmcqtiles.txt	DiversityTiles	12.3384444444444	11.4884444444444
4	mcmcqtiles.txt	DiversityTiles	12.4408888888889	11.4734444444445
