Chain	File	Parameter	Retained_states	ESS	Mean	SD
1	mcmcpilogl.txt	LogPrior	18000	599.975199658169	21.0621140259444	8.88548931430447
2	mcmcpilogl.txt	LogPrior	18000	583.742327993143	18.7373455036667	8.31520261040138
3	mcmcpilogl.txt	LogPrior	18000	658.814718785137	22.0658669213889	8.74050793336275
4	mcmcpilogl.txt	LogPrior	18000	635.451923964436	23.3871367333333	8.87420189735771
1	mcmcpilogl.txt	LogLikelihood	18000	443.362570661091	14326.9258148684	9.92936173954956
2	mcmcpilogl.txt	LogLikelihood	18000	467.774165897819	14326.4283933114	9.35362735506297
3	mcmcpilogl.txt	LogLikelihood	18000	463.806004294818	14327.1459882567	9.55651085119684
4	mcmcpilogl.txt	LogLikelihood	18000	477.498918726472	14327.4319702914	9.22615715759481
1	mcmcmhyper.txt	MigrationMean	18000	318.107577699896	-0.443992189666667	0.0511788586412571
2	mcmcmhyper.txt	MigrationMean	18000	344.269046469945	-0.441277463388889	0.0470889211563173
3	mcmcmhyper.txt	MigrationMean	18000	335.602967437124	-0.443295281888889	0.0488022378869865
4	mcmcmhyper.txt	MigrationMean	18000	349.323714637614	-0.436249871666667	0.0466647694924158
1	mcmcmhyper.txt	MigrationVariance	18000	6703.92022687988	2.09063463966667	0.46669124560906
2	mcmcmhyper.txt	MigrationVariance	18000	5291.42923644382	2.08602999955556	0.467135327303714
3	mcmcmhyper.txt	MigrationVariance	18000	6700.96743259468	2.09501812505556	0.468826144773113
4	mcmcmhyper.txt	MigrationVariance	18000	6236.74581129402	2.11252958744444	0.486977706573281
1	mcmcqhyper.txt	DiversityMean	18000	NA	0	0
2	mcmcqhyper.txt	DiversityMean	18000	NA	0	0
3	mcmcqhyper.txt	DiversityMean	18000	NA	0	0
4	mcmcqhyper.txt	DiversityMean	18000	NA	0	0
1	mcmcqhyper.txt	DiversityVariance	18000	4070.54341519209	0.0635716302222222	0.0424694886267954
2	mcmcqhyper.txt	DiversityVariance	18000	6216.48493914284	0.0680041308888889	0.0455001228305407
3	mcmcqhyper.txt	DiversityVariance	18000	3629.60519374843	0.062695029	0.0447552837087959
4	mcmcqhyper.txt	DiversityVariance	18000	4576.39557277397	0.0622293948888889	0.0429111841409617
1	mcmcthetas.txt	Theta	18000	4427.36345883604	0.104513025444444	0.00075867443490621
2	mcmcthetas.txt	Theta	18000	4648.56757424577	0.104445725944444	0.000750744890128537
3	mcmcthetas.txt	Theta	18000	4336.42588465861	0.104543525388889	0.000762427908822037
4	mcmcthetas.txt	Theta	18000	4583.42989573875	0.104549724	0.000758066756076809
1	mcmcthetas.txt	DegreesFreedom	18000	7429.99832706502	674.496189335667	13.3753717328103
2	mcmcthetas.txt	DegreesFreedom	18000	7131.60806318615	674.309145654056	13.4364007732789
3	mcmcthetas.txt	DegreesFreedom	18000	8415.76218130326	674.438424821444	13.4350264749926
4	mcmcthetas.txt	DegreesFreedom	18000	9000.96834689661	674.577499143556	13.3545163652384
1	mcmcmtiles.txt	MigrationTiles	18000	414.648461351848	48.5479444444444	5.82052165673219
2	mcmcmtiles.txt	MigrationTiles	18000	377.27259594908	49.3249999999998	6.17040798189521
3	mcmcmtiles.txt	MigrationTiles	18000	414.692801287683	48.1896666666664	5.66766952144544
4	mcmcmtiles.txt	MigrationTiles	18000	405.958404182392	46.7294444444444	5.69295277882995
1	mcmcqtiles.txt	DiversityTiles	18000	837.051494970192	11.6493333333333	2.7739891754169
2	mcmcqtiles.txt	DiversityTiles	18000	929.240106630037	10.9095555555554	2.41369452137965
3	mcmcqtiles.txt	DiversityTiles	18000	758.910242665917	11.9134444444445	2.88726593807508
4	mcmcqtiles.txt	DiversityTiles	18000	886.408739738833	11.9571666666666	2.82903574997309
