Bin	Geo_km_min	Geo_km_max	N_pairs	Mean_genetic_distance	SE_genetic_distance
1	0	71.1294396816835	476	0.155893666436297	0.00418124758347402
2	71.1294396816835	152.780272546069	475	0.189367032481239	0.00424335687066514
3	152.780272546069	196.721037947023	475	0.248266487518463	0.00465837900442424
4	196.721037947023	236.843210409473	475	0.273567247088091	0.00388831374630565
5	236.843210409473	265.715719834627	476	0.278058391503134	0.00343432404279423
6	265.715719834627	307.308551475343	476	0.250481451903183	0.00319584673735407
7	307.308551475343	383.942734711482	474	0.295939861008293	0.00357341113997975
8	383.942734711482	494.083378467717	475	0.290384213509452	0.00327777895453815
9	494.083378467717	735.712073954345	475	0.276569202592342	0.00341072146949238
10	735.712073954345	1421.93058010662	476	0.29518771166664	0.00317463563400297
