Sample1	Sample2	Population1	Population2	Geographic_distance_km	Genetic_distance
MVZ206289	MVZ227430	South_Coast	South_Coast	39.9194012489797	0.0201198630136985
MVZ206289	MVZ231861	South_Coast	South_Coast	1.2816414119667	0.020050860719875
MVZ206289	MVZ232173	South_Coast	South_Coast	179.233885931435	0.0824825875393569
MVZ206289	MVZ239688	South_Coast	South_Coast	5.47062977166792	0.014872521246459
MVZ206289	MVZ240832	South_Coast	South_Coast	210.231961205811	0.0824952561669832
MVZ206289	MVZ240837	South_Coast	South_Coast	210.346362050911	0.0840737240075614
MVZ206289	MVZ241098	South_Coast	South_Coast	5.47062977166792	0.0164081709854361
MVZ206289	MSB259148	South_Coast	North	702.898684615127	0.31387389124566
MVZ206289	MSB261737	South_Coast	North	723.140042782584	0.316320645905421
MVZ206289	MSB269732	South_Coast	North	712.69806000682	0.307680988816953
MVZ206289	MSB269776	South_Coast	North	1094.32723294711	0.306624141315015
MVZ206289	MSB269806	South_Coast	North	762.484201358307	0.304816784869975
MVZ206289	MSB281100	South_Coast	North	1023.13032401424	0.315292605773034
MVZ206289	MSB311857	South_Coast	North	882.327184064127	0.315531091936922
MVZ206289	MSB43525	South_Coast	North	1132.68170960645	0.318015941611446
MVZ206289	MVZ217504	South_Coast	North	352.321016037279	0.298906733746131
MVZ206289	MVZ223024	South_Coast	Sierra_3	428.452324362807	0.312463400351357
MVZ206289	MVZ223025	South_Coast	North	364.412604936237	0.302444680645473
MVZ206289	MVZ223028	South_Coast	North	468.037569181498	0.298569495457183
MVZ206289	UAM101701	South_Coast	North	596.406338382705	0.297123315228324
MVZ206289	UAM41739	South_Coast	North	970.106371755293	0.310531442796841
MVZ206289	UAM93314	South_Coast	North	595.149757129391	0.30817518248175
MVZ206289	MVZ221535	South_Coast	Sierra_2	155.817753550159	0.350441669204995
MVZ206289	MVZ221743	South_Coast	Sierra_2	188.502576160819	0.350459356900339
MVZ206289	MVZ224676	South_Coast	Sierra_2	216.629704028981	0.352455756611652
MVZ206289	MVZ232190	South_Coast	Sierra_2	211.824629155292	0.346402949382224
MVZ206289	MVZ191515	South_Coast	North_Coast	50.8628229656406	0.268116658428077
MVZ206289	MVZ191548	South_Coast	North_Coast	61.9938613653649	0.266630477694433
MVZ206289	MVZ191565	South_Coast	North_Coast	62.1660554988966	0.267391304347826
MVZ206289	MVZ191579	South_Coast	North_Coast	62.2507706240808	0.262847430513897
MVZ206289	MVZ191607	South_Coast	North_Coast	49.1468668149378	0.268965517241379
MVZ206289	MVZ217992	South_Coast	North_Coast	33.7754565242957	0.269992121331495
MVZ206289	MVZ219009	South_Coast	North_Coast	32.4214508033843	0.263598533637174
MVZ206289	MVZ219014	South_Coast	North_Coast	32.777216051916	0.268067735107348
MVZ206289	MVZ219015	South_Coast	North_Coast	32.4214508033843	0.266693402847404
MVZ206289	MVZ230716	South_Coast	North_Coast	25.5700543313995	0.257020757020756
MVZ206289	MVZ231432	South_Coast	North_Coast	41.1455113545644	0.26177118813865
MVZ206289	MVZ240012	South_Coast	North_Coast	76.7789737922155	0.261599358653172
MVZ206289	MVZ240013	South_Coast	North_Coast	76.7789737922155	0.261112775946459
MVZ206289	MVZ196598	South_Coast	Sierra_3	300.080789485179	0.321709894332373
MVZ206289	MVZ200477	South_Coast	Sierra_3	295.238140900279	0.325772705658583
MVZ206289	MVZ200647	South_Coast	Sierra_3	293.65182160199	0.31673923560716
MVZ206289	MVZ217509	South_Coast	Sierra_3	247.243509003462	0.327496203492787
MVZ206289	MVZ217516	South_Coast	Sierra_3	246.648212127074	0.324776997532739
MVZ206289	MVZ217517	South_Coast	Sierra_3	246.648212127074	0.321998280638075
MVZ206289	MVZ217872	South_Coast	Sierra_3	277.43416070618	0.323190476190476
MVZ206289	MVZ218037	South_Coast	Sierra_3	281.417234712512	0.321887798837985
MVZ206289	MVZ218549	South_Coast	Sierra_3	293.0561289125	0.323088670420922
MVZ206289	MVZ219775	South_Coast	Sierra_3	286.447708291445	0.319287109375
MVZ206289	MVZ220148	South_Coast	Sierra_3	310.240372113907	0.326223277909738
MVZ206289	MVZ222746	South_Coast	Sierra_3	242.613886851468	0.328715728715729
MVZ206289	MVZ222749	South_Coast	Sierra_3	242.828808438318	0.327417027417027
MVZ206289	MVZ222751	South_Coast	Sierra_3	240.351236723226	0.330217620554118
MVZ206289	MVZ222752	South_Coast	Sierra_3	239.410510237137	0.324371542269242
MVZ206289	MVZ222753	South_Coast	Sierra_3	239.410510237137	0.32387683965918
MVZ206289	MVZ222756	South_Coast	Sierra_3	243.905039792726	0.327316836487142
MVZ206289	MVZ222758	South_Coast	Sierra_3	243.905039792726	0.329813664596274
MVZ206289	MVZ223020	South_Coast	Sierra_3	408.437303696689	0.318141980718669
MVZ206289	MVZ223022	South_Coast	Sierra_3	352.026100191522	0.319751649204501
MVZ206289	MVZ223023	South_Coast	Sierra_3	411.730274525862	0.310512950736415
MVZ206289	MVZ228426	South_Coast	Sierra_3	265.399662381729	0.31563976472857
MVZ206289	MVZ228428	South_Coast	Sierra_3	357.740924445473	0.319531174944759
MVZ206289	MVZ232186	South_Coast	Sierra_3	195.991589389399	0.328837876614061
MVZ206289	MVZ240272	South_Coast	North	237.114065455155	0.287572815533981
MVZ206289	MVZ240328	South_Coast	North	198.256400004263	0.294896766653681
MVZ206289	MVZ240329	South_Coast	North	198.256400004263	0.288242730720607
MVZ206289	MVZ240330	South_Coast	North	198.256400004263	0.290455426356589
MVZ206289	MVZ241349	South_Coast	North_Coast	147.047199060047	0.27805337831134
MVZ206289	MVZ222480	South_Coast	Sierra_1	409.023749354416	0.372042467138524
MVZ206289	MVZ222490	South_Coast	Sierra_1	419.165622496605	0.372054876230242
MVZ206289	MVZ223094	South_Coast	Sierra_1	346.348020603726	0.375845939490445
MVZ206289	MVZ223095	South_Coast	Sierra_1	346.348020603726	0.372803098004171
MVZ206289	MVZ224618	South_Coast	Sierra_1	344.565040975546	0.376939037644502
MVZ206289	MVZ199508	South_Coast	Sierra_2	151.475655560155	0.359008215962441
MVZ206289	MVZ199509	South_Coast	Sierra_2	158.759287320152	0.357878728414443
