rep	K	seed	logfile	ml	cv	cv_se
1	1	10001	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep1.1.log	-0.6717546703	0.6128136	0.0281758
1	2	10002	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep1.2.log	-0.6027158208	0.490842	0.0299551
1	3	10003	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep1.3.log	-0.5672568478	0.4425077	0.0187766
1	4	10004	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep1.4.log	-0.5434028676	0.3994239	0.0169963
1	5	10005	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep1.5.log	-0.5337398153	0.3626334	0.0411535
1	6	10006	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep1.6.log	-0.5559641453	0.4079393	0.0091803
1	7	10007	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep1.7.log	-0.5345894223	0.3617308	0.0214039
1	8	10008	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep1.8.log	-0.53673287	0.3681789	0.0241881
1	9	10009	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep1.9.log	-0.5365189896	0.3540258	0.0082801
1	10	10010	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep1.10.log	-0.5365024898	0.3526712	0.0285193
2	1	20001	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep2.1.log	-0.6717546703	0.6198413	0.0198043
2	2	20002	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep2.2.log	-0.6027157354	0.5033688	0.0265365
2	3	20003	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep2.3.log	-0.5672573794	0.4314255	0.0143499
2	4	20004	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep2.4.log	-0.5527193677	0.3924353	0.0162654
2	5	20005	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep2.5.log	-0.5337538095	0.3648814	0.009519
2	6	20006	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep2.6.log	-0.5339553736	0.3691658	0.0128225
2	7	20007	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep2.7.log	-0.5460755319	0.4013815	0.0189726
2	8	20008	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep2.8.log	-0.5376411127	0.3593206	0.0076677
2	9	20009	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep2.9.log	-0.5443007174	0.3764857	0.0304158
2	10	20010	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep2.10.log	-0.535944298	0.3660182	0.0137372
3	1	30001	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep3.1.log	-0.6717546703	0.6063183	0.0244712
3	2	30002	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep3.2.log	-0.6027158226	0.506531	0.0138629
3	3	30003	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep3.3.log	-0.569096685	0.4443223	0.0089243
3	4	30004	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep3.4.log	-0.5433430739	0.3858162	0.0142427
3	5	30005	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep3.5.log	-0.5451397724	0.3824922	0.0101922
3	6	30006	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep3.6.log	-0.535460466	0.3720591	0.0236163
3	7	30007	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep3.7.log	-0.5425723091	0.378362	0.0239865
3	8	30008	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep3.8.log	-0.5364268923	0.3599163	0.0087401
3	9	30009	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep3.9.log	-0.5446863036	0.401405	0.0215538
3	10	30010	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep3.10.log	-0.5443751347	0.3665459	0.0178157
4	1	40001	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep4.1.log	-0.6717546703	0.5952839	0.024525
4	2	40002	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep4.2.log	-0.6027157364	0.5210974	0.0261158
