Sample	N_sites	N_missing	Missingness	Callrate	Population	Outlier_IQR	Missingness_Z	Outlier_Z3
UAM41739	23482	9385	0.399667830678818	0.600332169321182	North	TRUE	3.96903463588023	TRUE
UAM101701	23482	8056	0.343071288646623	0.656928711353377	North	FALSE	2.05394023591324	FALSE
MSB311857	23482	7884	0.335746529256452	0.664253470743548	North	FALSE	1.80608753704618	FALSE
MVZ223023	23482	7875	0.33536325696278	0.66463674303722	Sierra_3	FALSE	1.79311850047756	FALSE
MSB281100	23482	7790	0.331743463078102	0.668256536921898	North	FALSE	1.67063315510721	FALSE
MSB83485	23482	7761	0.330508474576271	0.669491525423729	North	FALSE	1.62884403727497	FALSE
MSB269806	23482	7703	0.328038497572609	0.671961502427391	North	FALSE	1.5452658016105	FALSE
MSB269776	23482	7701	0.327953325951793	0.672046674048207	North	FALSE	1.54238379348414	FALSE
MSB269732	23482	7669	0.326590580018738	0.673409419981262	North	FALSE	1.49627166346236	FALSE
MVZ240328	23482	7609	0.324035431394259	0.67596456860574	North	FALSE	1.40981141967153	FALSE
MVZ240329	23482	7596	0.323481815858956	0.676518184141044	North	FALSE	1.39107836685018	FALSE
MVZ240330	23482	7527	0.320543394940806	0.679456605059194	North	FALSE	1.29164908649072	FALSE
MVZ240272	23482	7496	0.319223234818159	0.680776765181841	North	FALSE	1.24697796053212	FALSE
UAM93314	23482	7440	0.316838429435312	0.683161570564688	North	FALSE	1.16628173299401	FALSE
MVZ223025	23482	7397	0.315007239587769	0.684992760412231	North	FALSE	1.10431855827724	FALSE
MVZ217504	23482	7394	0.314879482156545	0.685120517843455	North	FALSE	1.0999955460877	FALSE
MVZ230716	23482	7381	0.314325866621242	0.685674133378758	North_Coast	FALSE	1.08126249326635	FALSE
MVZ223028	23482	7344	0.312750191636147	0.687249808363853	North	FALSE	1.02794534292867	FALSE
MSB259148	23482	7254	0.308917468699429	0.691082531300571	North	FALSE	0.898254977242422	FALSE
MVZ231861	23482	7205	0.306830763989439	0.693169236010561	South_Coast	FALSE	0.827645778146572	FALSE
MSB261737	23482	7200	0.306617834937399	0.693382165062601	North	FALSE	0.82044075783067	FALSE
MSB43525	23482	7185	0.305979047781279	0.694020952218721	North	FALSE	0.798825696882961	FALSE
MVZ219014	23482	7169	0.305297674814752	0.694702325185248	North_Coast	FALSE	0.775769631872072	FALSE
MVZ240012	23482	7053	0.300357720807427	0.699642279192573	North_Coast	FALSE	0.608613160543124	FALSE
MVZ219015	23482	7020	0.298952389063964	0.701047610936036	North_Coast	FALSE	0.561060026458165	FALSE
MVZ223024	23482	7010	0.298526530959884	0.701473469040116	Sierra_3	FALSE	0.546649985826361	FALSE
MVZ240013	23482	6999	0.298058087045396	0.701941912954604	North_Coast	FALSE	0.530798941131374	FALSE
MVZ241349	23482	6960	0.296397240439486	0.703602759560514	North_Coast	FALSE	0.474599782667331	FALSE
MVZ219775	23482	6953	0.29609913976663	0.70390086023337	Sierra_3	FALSE	0.464512754225068	FALSE
MVZ231432	23482	6889	0.29337364790052	0.70662635209948	North_Coast	FALSE	0.372288494181511	FALSE
MVZ191579	23482	6888	0.293331062090112	0.706668937909888	North_Coast	FALSE	0.370847490118329	FALSE
